created_at,text
Apr 25,"['RT', '@iHeartRadio:', 'RT', 'to', 'vote', 'for', '#Beliebers', 'for', '@tacobell', '#BestFanArmy!', '#iHeartAwards', '|', '@justinbieber', 'https://t.co/n4AuNOKp2l']"
Apr 25,"['.Look', 'who’s', 'bringing', 'spicy', 'back!', '#spicychickenburrito', '@tacobell', '@RandyGregory_4']"
Apr 25,"['RT', '@sheaintveee:', '@AustriaJ_', 'I’m', 'boycotting', '@tacobell', 'until', 'they', 'bring', 'the', 'Orange', 'Cream', 'Pop', 'slushy', 'back']"
Apr 25,"['@blessdpunk', 'they', 'took', 'down', 'tacobell/KFC', '&amp;', 'the', 'burger', 'king', 'here', 'some1', 'spray', 'painted', 'worship', 'satan', 'all', 'over', 'it']"
Apr 25,"['RT', '@tabasfat:', 'My', 'brother', 'really', 'wants', 'to', 'work', 'for', '@tacobell', 'so', 'he', 'deadass', 'bought', 'a', 'domain', 'to', 'show', 'them', 'his', 'passion.', '#livemas', 'https://t.co/…']"
Apr 25,"['The', '@tacobell', 'in', 'Columbus,', 'Ohio', 'on', 'High', 'and', 'Hudson', 'has', 'thee', 'worst', 'and', 'slowest', 'service', 'EVER!!!!', 'I', 'was', 'in', 'line', 'for', 'al…', 'https://t.co/DUZl7GNVhd']"
Apr 25,"['@SUUtbirds', '@ImaVroomVroom', '@tacobell', 'Cedar', 'City""s', '@tacobell', 'is', 'the', 'best', 'Taco', 'Bell', 'in', 'the', 'nation,', 'nay', 'the', 'WORLD!']"
Apr 25,"['@tacobell', 'love', 'me', 'some', 'mouse', 'shit', 'in', 'my', 'food', 'https://t.co/pvwkhe4qXE']"
Apr 25,"['RT', '@spookyxjungle:', 'the', 'day', '@tacobell', 'gets', 'vegan', 'breakfast', 'options;', 'it’s', 'over', 'for', 'y’all.']"
Apr 25,"['@spookyxjungle', '@tacobell', 'I', 'say', 'this', 'all', 'the', 'time.']"
Apr 25,"['I', 'laugh', 'at', '@tacobell', 'breakfast', 'commercials', 'because', 'they', 'never', 'have', 'eggs', 'lol']"
Apr 25,"['Today', 'I', 'watched', 'an', 'employee', 'who', 'has', 'great', 'social', 'skills', 'touch', 'taco', 'shells', 'with', 'her', 'bare', 'hands,', 'which', 'I', 'thought', 'was…', 'https://t.co/tZz3nNPzEg']"
Apr 25,"['The', 'five', 'best', 'Value', 'Meals', 'from', 'Taco', 'Bell', 'that', 'we', 'can""t', 'get', 'enough', 'of.', 'https://t.co/UlJB4Rx4Oj', '#tacobell', 'https://t.co/1aLX0WksNJ']"
Apr 25,"['RT', '@little_lochness:', 'Told', 'my', 'girlfriend', '@tacobell', 'no', 'longer', 'sells', 'nacho', 'fries...', 'https://t.co/ci8BHUhU3L']"
Apr 25,"['@ChelseaSense', '@tacobell', '@woodyandwilcox', 'Credit', 'where', 'credit', 'is', 'due.']"
Apr 25,"['The', 'bell', 'ringing', 'at', 'the', 'start', 'and', 'finish', 'of', 'our', 'album', 'isn""t', 'a', 'dark', 'souls', 'reference,', 'it""s', 'the', '@tacobell.']"
Apr 25,"['@AustriaJ_', 'I’m', 'boycotting', '@tacobell', 'until', 'they', 'bring', 'the', 'Orange', 'Cream', 'Pop', 'slushy', 'back']"
Apr 25,"['I', 'may', 'call', '@Ljdaprile', 'crying', 'because', 'of', '#EndGame', 'or', '#Browns', 'or', '#TacoBell']"
Apr 25,"['there', 'is', 'straight', 'up', 'no', 'less', 'than', '30', 'ppl', 'waiting', 'in', 'this', '@tacobell', 'pickup', 'area', 'for', 'their', 'food', '&amp;', 'i', 'just', 'feel', 'so', 'bad', 'for', 'the', 'staff']"
Apr 25,"['@HOVAAA', '@FullyPoseable', '@feedme_tacobell', 'https://t.co/OeOxdd5Mgn']"
Apr 25,"['@RamiRogers', '@tacobell', 'OMG!', 'The', 'Natchez,', 'MS', 'location!', '@tacobell', '#TheBest']"
Apr 25,"['.@tacobell', 'is', 'an', 'authentic', 'and', 'electric', 'brand', 'that', 'connects', 'with', 'Gen', 'Z’ers', 'in', 'their', 'marketing.', 'As', 'is', '@patagonia', 'an…', 'https://t.co/8rSwhS3kmT']"
Apr 25,"['RT', '@little_lochness:', 'Told', 'my', 'girlfriend', '@tacobell', 'no', 'longer', 'sells', 'nacho', 'fries...', 'https://t.co/ci8BHUhU3L']"
Apr 25,"['There’s', 'no', '@tacobell', 'by', 'my', 'job', '&amp;', 'my', 'lunch', 'break', 'isn’t', 'long', 'enough', 'to', 'go', 'grab', 'a', 'taco', '😭', '#torn']"
Apr 25,"['@tacobell', 'this', 'needs', 'to', 'come', 'back', 'https://t.co/8JjCEXgwLD']"
Apr 25,"['Taco', 'Bell,', 'are', 'you', 'going', 'to', 'bring', 'back', 'the', 'quesalupa?', '#tacobell']"
Apr 25,"['@ShadyLadyKatie2', '@tacobell', '@Wendys', '@Starbucks', '@AuntieAnnes', 'Awesome', 'combo', '😆👊🏼', 'https://t.co/r7eKbnkJlp']"
Apr 25,"['RT', '@ShadyLadyKatie2:', '#IFIWereRoyalty', 'id', 'put', 'a', '@tacobell', 'and', 'a', '@Wendys', 'in', 'my', 'food', 'court.', 'also', 'a', '@Starbucks', 'and', 'a', '@AuntieAnnes']"
Apr 25,"['RT', '@iHeartRadio:', 'RT', 'to', 'vote', 'for', '#Beliebers', 'for', '@tacobell', '#BestFanArmy!', '#iHeartAwards', '|', '@justinbieber', 'https://t.co/n4AuNOKp2l']"
Apr 25,"['@tacobell', 'Please', 'put', 'the', 'Gordita', 'back', 'on', 'your', 'menu', 'and', 'register!', 'The', 'fact', 'that', 'you', 'try', 'to', 'force', 'a', 'nasty,', 'fried', 'vers…', 'https://t.co/mwQ9fRCgbF']"
Apr 25,"['#IFIWereRoyalty', 'id', 'put', 'a', '@tacobell', 'and', 'a', '@Wendys', 'in', 'my', 'food', 'court.', 'also', 'a', '@Starbucks', 'and', 'a', '@AuntieAnnes']"
Apr 25,"['Yep.', '🤘🏻😹🌮', '#LOL', '#Food', '#FoodPics', '#Tacos', '#Running', '#Jogging', '#TacoBell', '#Taco', '#Foodie', '#Artist', '#JPAbstractArt', '#Fitness…', 'https://t.co/Mii9y5lguC']"
Apr 25,"['@tacobell', 'HOW', 'MANY', 'CHIPOTLE', 'FLAT', 'BREADS', 'DO', 'I', 'HAVE', 'TO', 'COMMIT', 'TO', 'IN', 'ORDER', 'FOR', 'YOU', 'TO', 'BRING', 'THEM', 'BACK!!!!']"
Apr 25,"['RT', '@little_lochness:', 'Told', 'my', 'girlfriend', '@tacobell', 'no', 'longer', 'sells', 'nacho', 'fries...', 'https://t.co/ci8BHUhU3L']"
Apr 25,"['Just', 'me', 'and', 'Noah', 'living', 'the', 'Force', 'Dream', '...', '@BlkSeriesRebels', '@tacobell', '...', 'wish', 'you', 'guys', 'were', 'here!', 'https://t.co/ePYysCYxKz']"
Apr 25,"['Hey', '@tacobell', ',', 'when’s', 'the', 'Dr.Pepper', 'freeze', 'coming', 'back???', 'The', 'people', 'want', 'a', 'Dr.Pepper', 'freeze!!#drfreeze2019']"
Apr 25,"['RT', '@little_lochness:', 'Told', 'my', 'girlfriend', '@tacobell', 'no', 'longer', 'sells', 'nacho', 'fries...', 'https://t.co/ci8BHUhU3L']"
Apr 25,"['RT', '@tiktok_us:', 'yo', 'quiero', '@tacobell', 'https://t.co/cgqrYeMDMA']"
Apr 25,"['@tacobell', 'Please', 'please', 'please', 'bring', 'back', 'the', 'best', 'item', 'that', 'ever', 'graced', 'the', 'Taco', 'Bell', 'menu!', '#BringBackTheClub…', 'https://t.co/tz1uHnRaIZ']"
Apr 25,"['Hiya,', 'I', 'bid', 'a', 'decennial', 'bundle', 'of', 'crusty', 'tacos', 'please.', '@tacobell']"
